,SA2_NAME21,SA3_NAME21
2095,Waikiki,Rockingham
2096,Warnbro,Rockingham
2097,Baldivis - North,Rockingham
2098,Baldivis - South,Rockingham
2099,Karnup,Rockingham
2100,Albany,Albany
2101,Albany Surrounds,Albany
2102,Bayonet Head - Lower King,Albany
2103,Denmark,Albany
2104,Gnowangerup,Albany
2105,Katanning,Albany
2106,Kojonup,Albany
2107,Little Grove - Elleker,Albany
2108,McKail - Willyung,Albany
2109,Plantagenet,Albany
2110,Stirling Range National Park,Albany
2111,Chittering,Wheat Belt - North
2112,Cunderdin,Wheat Belt - North
2113,Dowerin,Wheat Belt - North
2114,Gingin - Dandaragan,Wheat Belt - North
2115,Merredin,Wheat Belt - North
2116,Moora,Wheat Belt - North
2117,Mukinbudin,Wheat Belt - North
2118,Northam,Wheat Belt - North
2119,Toodyay,Wheat Belt - North
2120,York - Beverley,Wheat Belt - North
2121,Brookton,Wheat Belt - South
2122,Kulin,Wheat Belt - South
2123,Murray,Wheat Belt - South
2124,Narrogin,Wheat Belt - South
2125,Wagin,Wheat Belt - South
2126,Broome,Kimberley
2127,Derby - West Kimberley,Kimberley
2128,Halls Creek,Kimberley
2129,Kununurra,Kimberley
2130,Roebuck,Kimberley
2131,East Pilbara,East Pilbara
2132,Newman,East Pilbara
2133,Port Hedland,East Pilbara
2134,South Hedland,East Pilbara
2135,Ashburton (WA),West Pilbara
2136,Karratha,West Pilbara
2137,Roebourne,West Pilbara
2138,Esperance,Esperance
2139,Esperance Surrounds,Esperance
2140,Carnarvon,Gascoyne
2141,Exmouth,Gascoyne
2142,Boulder,Goldfields
2143,Kalgoorlie,Goldfields
2144,Kalgoorlie - North,Goldfields
2145,Kalgoorlie Airport,Goldfields
2146,Kambalda - Coolgardie - Norseman,Goldfields
2147,Leinster - Leonora,Goldfields
2148,Trafalgar (WA),Goldfields
2149,Geraldton,Mid West
2150,Geraldton - East,Mid West
2151,Geraldton - North,Mid West
2152,Geraldton - South,Mid West
2153,Irwin,Mid West
2154,Meekatharra,Mid West
2155,Morawa,Mid West
2156,Northampton - Mullewa - Greenough,Mid West
2157,Migratory - Offshore - Shipping (WA),Migratory - Offshore - Shipping (WA)
2158,No usual address (WA),No usual address (WA)
2159,Bridgewater - Gagebrook,Brighton
2160,Brighton - Pontville,Brighton
2161,Old Beach - Otago,Brighton
2162,Bellerive - Rosny,Hobart - North East
2163,Cambridge,Hobart - North East
2164,Geilston Bay - Risdon,Hobart - North East
2165,Howrah - Tranmere,Hobart - North East
2166,Lindisfarne - Rose Bay,Hobart - North East
2167,Mornington - Warrane,Hobart - North East
2168,Risdon Vale,Hobart - North East
2169,Rokeby,Hobart - North East
2170,South Arm,Hobart - North East
2171,Austins Ferry - Granton,Hobart - North West
2172,Berriedale - Chigwell,Hobart - North West
2173,Claremont (Tas.),Hobart - North West
2174,Derwent Park - Lutana,Hobart - North West
2175,Glenorchy,Hobart - North West
2176,Montrose - Rosetta,Hobart - North West
2177,Moonah,Hobart - North West
2178,New Norfolk,Hobart - North West
2179,West Moonah,Hobart - North West
2180,Kingston - Huntingfield,Hobart - South and West
2181,Kingston Beach - Blackmans Bay,Hobart - South and West
2182,Margate - Snug,Hobart - South and West
2183,Mount Wellington,Hobart - South and West
2184,Taroona - Bonnet Hill,Hobart - South and West
2185,Hobart,Hobart Inner
2186,Lenah Valley - Mount Stuart,Hobart Inner
2187,Mount Nelson - Dynnyrne,Hobart Inner
2188,New Town,Hobart Inner
2189,Sandy Bay,Hobart Inner
2190,South Hobart - Fern Tree,Hobart Inner
2191,West Hobart,Hobart Inner
2192,Dodges Ferry - Lewisham,Sorell - Dodges Ferry
2193,Sorell - Richmond,Sorell - Dodges Ferry
2194,Invermay,Launceston
2195,Kings Meadows - Punchbowl,Launceston
2196,Launceston,Launceston
2197,Legana,Launceston
2198,Mowbray,Launceston
2199,Newnham - Mayfield,Launceston
2200,Newstead,Launceston
2201,Norwood (Tas.),Launceston
2202,Prospect Vale - Blackstone,Launceston
2203,Ravenswood,Launceston
2204,Riverside,Launceston
2205,South Launceston,Launceston
2206,Summerhill - Prospect,Launceston
2207,Trevallyn,Launceston
2208,Waverley - St Leonards,Launceston
2209,West Launceston,Launceston
2210,Youngtown - Relbia,Launceston
2211,Beauty Point - Beaconsfield,Meander Valley - West Tamar
2212,Deloraine,Meander Valley - West Tamar
2213,Grindelwald - Lanena,Meander Valley - West Tamar
2214,Hadspen - Carrick,Meander Valley - West Tamar
2215,Westbury,Meander Valley - West Tamar
2216,Dilston - Lilydale,North East
2217,George Town,North East
2218,Longford,North East
2219,Northern Midlands,North East
2220,Perth - Evandale,North East
2221,St Helens - Scamander,North East
2222,Flinders and Cape Barren Islands,North East
2223,Scottsdale - Bridport,North East
2224,Central Highlands,Central Highlands (Tas.)
2225,Derwent Valley,Central Highlands (Tas.)
2226,Southern Midlands,Central Highlands (Tas.)
2227,Wilderness - East,Central Highlands (Tas.)
2228,Bruny Island - Kettering,Huon - Bruny Island
2229,Cygnet,Huon - Bruny Island
2230,Geeveston - Dover,Huon - Bruny Island
2231,Huonville - Franklin,Huon - Bruny Island
2232,Forestier - Tasman,South East Coast
2233,Triabunna - Bicheno,South East Coast
2234,Acton - Upper Burnie,Burnie - Ulverstone
2235,Burnie - Ulverstone Surrounds,Burnie - Ulverstone
2236,Burnie - Wivenhoe,Burnie - Ulverstone
2237,Parklands - Camdale,Burnie - Ulverstone
2238,Penguin - Sulphur Creek,Burnie - Ulverstone
2239,Romaine - Havenview,Burnie - Ulverstone
2240,Somerset,Burnie - Ulverstone
2241,Ulverstone,Burnie - Ulverstone
2242,West Ulverstone,Burnie - Ulverstone
2243,Wynyard,Burnie - Ulverstone
2244,Devonport,Devonport
2245,East Devonport,Devonport
2246,Latrobe,Devonport
2247,Miandetta - Don,Devonport
2248,Port Sorell,Devonport
2249,Quoiba - Spreyton,Devonport
2250,Sheffield - Railton,Devonport
2251,Turners Beach - Forth,Devonport
2252,King Island,West Coast
2253,North West,West Coast
2254,Smithton,West Coast
2255,Waratah,West Coast
2256,West Coast (Tas.),West Coast
2257,Wilderness - West,West Coast
2258,Migratory - Offshore - Shipping (Tas.),Migratory - Offshore - Shipping (Tas.)
2259,No usual address (Tas.),No usual address (Tas.)
2260,Darwin Airport,Darwin City
2261,Darwin City,Darwin City
2262,East Point,Darwin City
2263,Fannie Bay - The Gardens,Darwin City
2264,Larrakeyah,Darwin City
2265,Ludmilla - The Narrows,Darwin City
2266,Parap,Darwin City
2267,Stuart Park,Darwin City
2268,Woolner - Bayview - Winnellie,Darwin City
2269,Alawa,Darwin Suburbs
2270,Anula,Darwin Suburbs
2271,Berrimah,Darwin Suburbs
2272,Brinkin - Nakara,Darwin Suburbs
2273,Buffalo Creek,Darwin Suburbs
2274,Charles Darwin,Darwin Suburbs
2275,Coconut Grove,Darwin Suburbs
2276,East Arm,Darwin Suburbs
2277,Jingili,Darwin Suburbs
2278,Karama,Darwin Suburbs
2279,Leanyer,Darwin Suburbs
2280,Lyons (NT),Darwin Suburbs
2281,Malak - Marrara,Darwin Suburbs
2282,Millner,Darwin Suburbs
2283,Moil,Darwin Suburbs
2284,Nightcliff,Darwin Suburbs
2285,Rapid Creek,Darwin Suburbs
2286,Tiwi,Darwin Suburbs
2287,Wagaman,Darwin Suburbs
2288,Wanguri,Darwin Suburbs
2289,Wulagi,Darwin Suburbs
2290,Howard Springs,Litchfield
2291,Humpty Doo,Litchfield
2292,Koolpinyah,Litchfield
2293,Virginia,Litchfield
2294,Weddell,Litchfield
2295,Bakewell,Palmerston
2296,Driver,Palmerston
2297,Durack - Marlow Lagoon,Palmerston
2298,Gray,Palmerston
2299,Moulden,Palmerston
2300,Palmerston - North,Palmerston
2301,Palmerston - South,Palmerston
2302,Rosebery - Bellamack,Palmerston
2303,Woodroffe,Palmerston
2304,Charles,Alice Springs
2305,East Side,Alice Springs
2306,Flynn (NT),Alice Springs
2307,Larapinta,Alice Springs
2308,Mount Johns,Alice Springs
2309,Petermann - Simpson,Alice Springs
2310,Ross,Alice Springs
2311,Sandover - Plenty,Alice Springs
2312,Tanami,Alice Springs
2313,Yuendumu - Anmatjere,Alice Springs
2314,Barkly,Barkly
2315,Tennant Creek,Barkly
2316,Alligator,Daly - Tiwi - West Arnhem
2317,Daly,Daly - Tiwi - West Arnhem
2318,Thamarrurr,Daly - Tiwi - West Arnhem
2319,Tiwi Islands,Daly - Tiwi - West Arnhem
2320,West Arnhem,Daly - Tiwi - West Arnhem
2321,Anindilyakwa,East Arnhem
2322,East Arnhem,East Arnhem
2323,Nhulunbuy,East Arnhem
2324,Elsey,Katherine
2325,Gulf,Katherine
2326,Katherine,Katherine
2327,Victoria River,Katherine
2328,Migratory - Offshore - Shipping (NT),Migratory - Offshore - Shipping (NT)
2329,No usual address (NT),No usual address (NT)
2330,Aranda,Belconnen
2331,Belconnen,Belconnen
2332,Bruce,Belconnen
2333,Charnwood,Belconnen
2334,Cook,Belconnen
2335,Dunlop,Belconnen
2336,Evatt,Belconnen
2337,Florey,Belconnen
2338,Flynn (ACT),Belconnen
2339,Fraser,Belconnen
2340,Giralang,Belconnen
2341,Gooromon,Belconnen
2342,Hawker,Belconnen
2343,Higgins,Belconnen
2344,Holt,Belconnen
2345,Kaleen,Belconnen
2346,Latham,Belconnen
2347,Lawson,Belconnen
2348,Macgregor (ACT),Belconnen
2349,Macquarie,Belconnen
2350,McKellar,Belconnen
2351,Melba,Belconnen
2352,Page,Belconnen
2353,Scullin,Belconnen
2354,Spence,Belconnen
2355,Weetangera,Belconnen
2356,Molonglo Corridor,Belconnen
2357,Macnamara,Belconnen
2358,Strathnairn,Belconnen
2359,West Belconnen,Belconnen
2360,Hume,Canberra East
2361,Kowen,Canberra East
2362,Canberra East,Canberra East
2363,Canberra Airport,Canberra East
2364,Majura,Canberra East
2365,Amaroo,Gungahlin
2366,Bonner,Gungahlin
2367,Casey,Gungahlin
2368,Crace,Gungahlin
2369,Forde,Gungahlin
2370,Franklin,Gungahlin
2371,Gungahlin,Gungahlin
2372,Hall,Gungahlin
2373,Harrison,Gungahlin
2374,Mitchell,Gungahlin
2375,Ngunnawal,Gungahlin
2376,Nicholls,Gungahlin
2377,Palmerston,Gungahlin
2378,Gungahlin - East,Gungahlin
2379,Gungahlin - West,Gungahlin
2380,Jacka,Gungahlin
2381,Kenny,Gungahlin
2382,Moncrieff,Gungahlin
2383,Taylor,Gungahlin
2384,Throsby,Gungahlin
2385,Acton,North Canberra
2386,Ainslie,North Canberra
2387,Braddon,North Canberra
2388,Civic,North Canberra
2389,Dickson,North Canberra
2390,Downer,North Canberra
2391,Hackett,North Canberra
2392,Lyneham,North Canberra
2393,O'Connor (ACT),North Canberra
2394,Turner,North Canberra
2395,Watson,North Canberra
2396,Black Mountain,North Canberra
2397,Campbell,North Canberra
2398,Duntroon,North Canberra
2399,Parkes (ACT) - North,North Canberra
2400,Reid,North Canberra
2401,Russell,North Canberra
2402,Deakin,South Canberra
2403,Forrest,South Canberra
2404,Griffith (ACT),South Canberra
2405,Lake Burley Griffin,South Canberra
2406,Narrabundah,South Canberra
2407,Parkes (ACT) - South,South Canberra
2408,Red Hill (ACT),South Canberra
2409,Yarralumla,South Canberra
2410,Barton,South Canberra
2411,Fyshwick,South Canberra
2412,Kingston (ACT),South Canberra
2413,Banks,Tuggeranong
2414,Bonython,Tuggeranong
2415,Calwell,Tuggeranong
2416,Chisholm,Tuggeranong
2417,Conder,Tuggeranong
2418,Fadden,Tuggeranong
2419,Gilmore,Tuggeranong
2420,Gordon (ACT),Tuggeranong
2421,Gowrie (ACT),Tuggeranong
2422,Greenway,Tuggeranong
2423,Isabella Plains,Tuggeranong
2424,Kambah,Tuggeranong
2425,Macarthur,Tuggeranong
2426,Monash,Tuggeranong
2427,Mount Taylor,Tuggeranong
2428,Oxley (ACT),Tuggeranong
2429,Richardson,Tuggeranong
2430,Theodore,Tuggeranong
2431,Tuggeranong,Tuggeranong
2432,Wanniassa,Tuggeranong
2433,Tuggeranong - West,Tuggeranong
2434,Chapman,Weston Creek
2435,Duffy,Weston Creek
2436,Fisher,Weston Creek
2437,Holder,Weston Creek
2438,Rivett,Weston Creek
2439,Stirling,Weston Creek
2440,Waramanga,Weston Creek
2441,Weston,Weston Creek
2442,Scrivener,Weston Creek
2443,Chifley,Woden Valley
2444,Curtin,Woden Valley
2445,Farrer,Woden Valley
2446,Garran,Woden Valley
2447,Hughes,Woden Valley
2448,Isaacs,Woden Valley
2449,Lyons (ACT),Woden Valley
2450,Mawson,Woden Valley
2451,O'Malley,Woden Valley
2452,Pearce,Woden Valley
2453,Phillip,Woden Valley
2454,Torrens,Woden Valley
2455,Arboretum,Molonglo
2456,Coombs,Molonglo
2457,Denman Prospect,Molonglo
2458,Molonglo,Molonglo
2459,Wright,Molonglo
2460,Molonglo - East,Molonglo
2461,Whitlam,Molonglo
2462,ACT - South West,Uriarra - Namadgi
2463,Namadgi,Uriarra - Namadgi
2464,Migratory - Offshore - Shipping (ACT),Migratory - Offshore - Shipping (ACT)
2465,No usual address (ACT),No usual address (ACT)
2466,Christmas Island,Christmas Island
2467,Cocos (Keeling) Islands,Cocos (Keeling) Islands
2468,Jervis Bay,Jervis Bay
2469,Norfolk Island,Norfolk Island
2470,Migratory - Offshore - Shipping (OT),Migratory - Offshore - Shipping (OT)
2471,No usual address (OT),No usual address (OT)
2472,Outside Australia,Outside Australia
